token_id,metadata_cover
3040,GOLD
3041,UNCOMMON
3042,RARE
3043,GOLD
3044,UNCOMMON
3045,UNCOMMON
3046,UNCOMMON
3047,UNCOMMON
3048,UNCOMMON
3049,UNCOMMON
3050,UNCOMMON
3051,RARE
3052,GOLD
3054,UNCOMMON
3055,UNCOMMON
3056,UNCOMMON
3057,UNCOMMON
3058,RARE
3059,UNCOMMON
3060,UNCOMMON
3061,UNCOMMON
3062,EPIC
3063,UNCOMMON
1317,RARE
1318,UNCOMMON
1319,UNCOMMON
1320,UNCOMMON
1324,UNCOMMON
1325,UNCOMMON
1326,RARE
1327,RARE
1328,GOLD
1336,UNCOMMON
1337,UNCOMMON
1338,UNCOMMON
1341,UNCOMMON
1351,RARE
1352,UNCOMMON
1353,UNCOMMON
1361,UNCOMMON
1362,GOLD
1363,UNCOMMON
1364,UNCOMMON
1365,RARE
1368,RARE
1369,EPIC
1370,UNCOMMON
1289,EPIC
1375,UNCOMMON
14742,UNCOMMON
1402,UNCOMMON
1403,UNCOMMON
1404,UNCOMMON
1405,UNCOMMON
1406,RARE
1407,UNCOMMON
1408,UNCOMMON
1409,UNCOMMON
1410,UNCOMMON
1411,UNCOMMON
1413,RARE
1414,RARE
14829,RARE
1416,UNCOMMON
1417,UNCOMMON
1418,UNCOMMON
1419,UNCOMMON
1420,UNCOMMON
1421,UNCOMMON
1422,UNCOMMON
1423,RARE
1424,UNCOMMON
1425,RARE
1426,RARE
1428,UNCOMMON
1429,UNCOMMON
1430,UNCOMMON
1431,UNCOMMON
1432,UNCOMMON
1433,UNCOMMON
1434,UNCOMMON
1435,UNCOMMON
1436,UNCOMMON
1437,RARE
1438,UNCOMMON
1439,UNCOMMON
1440,RARE
